,hotel_name,published_date,rating,review,review_language,title,trip_date,tokens,Stemming,Lemmatisation
0,Center Parcs Le Bois aux Daims,1 février 2019,5,"Premier séjour à center parc pour nous et nous avons adoré! Nous sommes partis 5 jours avec une petite fille de 2 ans. Tout était parfait. Le cottage premuim était très bien agencé, cocooning et propre. Les activités : piscine, spectacle pour enfants, balade, daims sont géniales pour déconnecter.  Tout en pensé pour ne pas sortir : livraisons de repas, carrefour market... ",fr,Petite semaine en famille, janvier 2019,"['premier', 'adore', 'partis', 'petite', 'fille', 'parfait', 'premuim', 'bien', 'agence', 'cocooning', 'propre', 'activites', 'piscine', 'spectacle', 'enfants', 'balade', 'geniales', 'deconnecter', 'pense', 'sortir', 'livraisons', 'repas', 'carrefour', 'market']","['premier', 'adore', 'partis', 'petite', 'fille', 'parfait', 'premuim', 'bien', 'agence', 'cocoon', 'propre', 'activites', 'piscine', 'spectacle', 'enfants', 'balade', 'geniales', 'deconnecter', 'pense', 'sortir', 'livraisons', 'repas', 'carrefour', 'market']","['premi', 'ador', 'part', 'petit', 'fill', 'parf', 'premuim', 'bien', 'agenc', 'cocooning', 'propr', 'activit', 'piscin', 'spectacl', 'enfant', 'balad', 'genial', 'deconnect', 'pens', 'sort', 'livraison', 'rep', 'carrefour', 'market']"
1,Center Parcs Le Bois aux Daims,1 février 2019,5,"sejour très agreable comme d habitude a center parcs,quel plaisir de voir les daims devant la terrasse de votre cottage;l eau de l aqua mondo peu etre pas à 30 degrés mais une fois dedans vous ne penser qu a descendre la riviére sauvage",fr,center parcs la promesse des daims, janvier 2019,"['agreable', 'habitude', 'quel', 'plaisir', 'terrasse', 'eau', 'mondo', 'degres', 'dedans', 'penser', 'descendre', 'riviere', 'sauvage']","['agreable', 'habitude', 'quel', 'plaisir', 'terrasse', 'eau', 'mondo', 'degres', 'dedans', 'penser', 'descendre', 'riviere', 'sauvage']","['agreabl', 'habitud', 'quel', 'plais', 'terr', 'eau', 'mondo', 'degr', 'dedan', 'pens', 'descendr', 'rivier', 'sauvag']"
2,Center Parcs Le Bois aux Daims,1 février 2019,3,"Cottage très bien, propre et chaud dès l'arrivée. Le parc agréable.Une coupure de courant nous a empêché de profiter de la soirée avant le départ.Nous étions en basse saison, l'eau des piscines pas assez chaude.",fr,A améliorer, janvier 2019,"['bien', 'propre', 'chaud', 'des', 'l arrivee', 'agreable une', 'coupure', 'courant', 'empeche', 'profiter', 'soiree', 'depart nous', 'basse', 'saison', 'l eau', 'piscines', 'chaude']","['bien', 'propre', 'chaud', 'de', 'l arrivee', 'agreable une', 'coupure', 'courant', 'empeche', 'profiter', 'soiree', 'depart nous', 'basse', 'saison', 'l eau', 'piscines', 'chaude']","['bien', 'propr', 'chaud', 'de', 'l arrive', 'agreable un', 'coupur', 'cour', 'empech', 'profit', 'soire', 'depart nous', 'bass', 'saison', 'l eau', 'piscin', 'chaud']"
3,Center Parcs Le Bois aux Daims,1 février 2019,3,"Séjour très reposant à noter tout de même trois restaurants testés  sur quatre et trois déceptions même quick n à pas réussi à faire un sandwich chaud. De plus pour un site de cette ampleur je trouve innadmissible d avoir été bloquée dans le dôme presque une heure après resto à cause d une coupure d électricité due à la tempête Gabriel pas de groupe électrogène personne pour nous ramener au cottage nous avons rejoint notre cottage sous la pluie le vent dans le noir,malgré un repas fini dans le noir pas de geste commercial du resto ni de la direction je trouve cela honteux. Le cottage était très douillé et calme tout pour le repos et les bassins sont impeccables.",fr,Reposant, février 2019,"['reposant', 'noter', 'trois', 'restaurants', 'testes', 'quatre', 'trois', 'deceptions', 'quick', 'reussi', 'sandwich', 'chaud', 'cette', 'ampleur', 'innadmissible', 'avoir', 'bloquee', 'dome', 'presque', 'heure', 'apres', 'resto', 'cause', 'coupure', 'electricite', 'due', 'tempete', 'gabriel', 'groupe', 'electrogene', 'personne', 'ramener', 'rejoint', 'sous', 'pluie', 'vent', 'noir', 'repas', 'fini', 'noir', 'geste', 'commercial', 'resto', 'direction', 'honteux', 'douille', 'calme', 'repos', 'bassins', 'impeccables']","['reposant', 'noter', 'trois', 'restaurant', 'testis', 'quatre', 'trois', 'deception', 'quick', 'reussi', 'sandwich', 'chaud', 'cette', 'ampleur', 'innadmissible', 'avoir', 'bloquee', 'dome', 'presque', 'heure', 'apres', 'resto', 'cause', 'coupure', 'electricite', 'due', 'tempete', 'gabriel', 'groupe', 'electrogene', 'personne', 'ramener', 'rejoint', 'sou', 'pluie', 'vent', 'noir', 'repas', 'fini', 'noir', 'geste', 'commercial', 'resto', 'direction', 'honteux', 'douille', 'calme', 'repos', 'bassins', 'impeccables']","['repos', 'not', 'trois', 'restaur', 'test', 'quatr', 'trois', 'decept', 'quick', 'reuss', 'sandwich', 'chaud', 'cet', 'ampleur', 'innadmissibl', 'avoir', 'bloque', 'dom', 'presqu', 'heur', 'apre', 'resto', 'caus', 'coupur', 'electricit', 'du', 'tempet', 'gabriel', 'group', 'electrogen', 'person', 'ramen', 'rejoint', 'sous', 'plui', 'vent', 'noir', 'rep', 'fin', 'noir', 'gest', 'commercial', 'resto', 'direct', 'honteux', 'douill', 'calm', 'repos', 'bassin', 'impecc']"
4,Center Parcs Le Bois aux Daims,2 février 2019,5,"Arrivés pour trois nuits et deux jours en semaine et hors saison, nous n'étions pas seuls !Ce centre a une bonne note globale, et sur place, on apprécie que tout est conforme: les animaux sont bien présents, les cottages sont spacieux, propres et silencieux, la  literie ( 10/10) très confortable. Bémol sur le restaurant pizzeria avec un personnel très dévoué, mais une qualité de pizza surgelée....à éviter. En face, le Cocoon vous re\u00e7oit très bien avec un niveau de restauration très supérieur. Dommage pour la boutique souvenirs ..Made in China bien sur et peu de choix sur les animaux locaux ; les daims en peluches et dérivés . La piscine est diversifiée avec les activités plus ou moins sportives, à sensations,  drôles et ludiques.Un séjour qui tient ses promesses avec une météo pourrie (tempête, pluie) on apprécie d'autant mieux la chaleur et l'ambiance chauffée sous les bananiers....",fr,tres belle decouverte, janvier 2019,"['arrives', 'trois', 'nuits', 'deux', 'hors', 'saison', 'n etions', 'seuls', 'centre', 'bonne', 'note', 'globale', 'place', 'apprecie', 'conforme', 'animaux', 'bien', 'presents', 'spacieux', 'propres', 'silencieux', 'literie', '10 10', 'confortable', 'bemol', 'restaurant', 'pizzeria', 'personnel', 'devoue', 'qualite', 'pizza', 'surgelee', 'eviter', 'face', 'cocoon', 're u00e7oit', 'bien', 'restauration', 'superieur', 'dommage', 'boutique', 'souvenirs', '  made', 'china', 'bien', 'choix', 'animaux', 'locaux', 'peluches', 'derives', 'piscine', 'diversifiee', 'activites', 'sportives', 'sensations', 'droles', 'ludiques un', 'tient', 'promesses', 'meteo', 'pourrie', 'tempete', 'pluie', 'apprecie', 'd autant', 'mieux', 'chaleur', 'l ambiance', 'chauffee', 'sous', 'bananiers']","['arrive', 'trois', 'nuits', 'deux', 'hors', 'saison', 'n etions', 'seuls', 'centre', 'bonne', 'note', 'globale', 'place', 'apprecie', 'conforme', 'animaux', 'bien', 'present', 'spacieux', 'propres', 'silencieux', 'literie', '10 10', 'confortable', 'bemol', 'restaurant', 'pizzeria', 'personnel', 'devoue', 'qualite', 'pizza', 'surgelee', 'eviter', 'face', 'cocoon', 're u00e7oit', 'bien', 'restauration', 'superieur', 'dommage', 'boutique', 'souvenir', '  made', 'china', 'bien', 'choix', 'animaux', 'locaux', 'peluches', 'derive', 'piscine', 'diversifiee', 'activites', 'sportives', 'sensation', 'droles', 'ludiques un', 'tient', 'promesses', 'meteo', 'pourrie', 'tempete', 'pluie', 'apprecie', 'd autant', 'mieux', 'chaleur', 'l ambiance', 'chauffee', 'sou', 'bananiers']","['arriv', 'trois', 'nuit', 'deux', 'hor', 'saison', 'n etion', 'seul', 'centr', 'bon', 'not', 'global', 'plac', 'apprec', 'conform', 'animal', 'bien', 'present', 'spacieux', 'propr', 'silenci', 'liter', '10 10', 'confort', 'bemol', 'restaur', 'pizzeri', 'personnel', 'devou', 'qualit', 'pizz', 'surgele', 'evit', 'fac', 'cocoon', 're u00e7oit', 'bien', 'restaur', 'superieur', 'dommag', 'boutiqu', 'souvenir', '  mad', 'chin', 'bien', 'choix', 'animal', 'local', 'peluch', 'deriv', 'piscin', 'diversifie', 'activit', 'sportiv', 'sensat', 'drol', 'ludiques un', 'tient', 'promess', 'meteo', 'pourr', 'tempet', 'plui', 'apprec', 'd aut', 'mieux', 'chaleur', 'l ambianc', 'chauffe', 'sous', 'banani']"
5,Center Parcs Le Bois aux Daims,30 janvier 2019,4,"Center parc est un endroit très relaxant et en cohésion avec la nature. Mais j'ai été énormément dé\u00e7ue, de ne pas pouvoir accéder a la piscine le samedi a cause du monde!Vu le prix en VIP je ne trouve pas \u00e7a normal.",fr,Déconnexion, janvier 2019,"['endroit', 'relaxant', 'cohesion', 'nature', 'enormement', 'de u00e7ue', 'pouvoir', 'acceder', 'piscine', 'samedi', 'cause', 'monde', 'prix', 'vip', ' u00e7a', 'normal']","['endroit', 'relaxant', 'cohesion', 'nature', 'enormement', 'de u00e7ue', 'pouvoir', 'acceder', 'piscine', 'samedi', 'cause', 'monde', 'prix', 'vip', ' u00e7a', 'normal']","['endroit', 'relax', 'cohes', 'natur', 'enorm', 'de u00e7u', 'pouvoir', 'acced', 'piscin', 'samed', 'caus', 'mond', 'prix', 'vip', ' u00e7', 'normal']"
6,Center Parcs Le Bois aux Daims,30 janvier 2019,5,agréablement surpris super séjour bien reposer prés a recommencer rapport qualité prix très bien le logement très propre et bien agencer l'espace aquatique très agréable avec \u00e7a piscine extérieure chauffer  ,fr,séjour agréable, janvier 2019,"['agreablement', 'surpris', 'super', 'bien', 'reposer', 'pres', 'recommencer', 'qualite', 'prix', 'bien', 'logement', 'propre', 'bien', 'agencer', 'l espace', 'aquatique', 'agreable', ' u00e7a', 'piscine', 'exterieure', 'chauffer']","['agreablement', 'surpris', 'super', 'bien', 'reposer', 'pres', 'recommencer', 'qualite', 'prix', 'bien', 'logement', 'propre', 'bien', 'agencer', 'l espace', 'aquatique', 'agreable', ' u00e7a', 'piscine', 'exterieure', 'chauffer']","['agreabl', 'surpr', 'sup', 'bien', 'repos', 'pre', 'recommenc', 'qualit', 'prix', 'bien', 'log', 'propr', 'bien', 'agenc', 'l espac', 'aquat', 'agreabl', ' u00e7', 'piscin', 'exterieur', 'chauff']"
7,Center Parcs Le Bois aux Daims,30 janvier 2019,2,Piscine bondée de monde !! Et pourtant hors périodes scolaire ..Pas de petits chalets mais des hangars en bois collés les uns aux autres..Meme si nous avons passés un bon moment avec nos enfants nous n'y retournerons pas .. ,fr,Piscine, janvier 2019,"['piscine', 'bondee', 'monde', 'pourtant', 'hors', 'periodes', 'scolaire', '  pas', 'petits', 'chalets', 'hangars', 'colles', 'uns', 'autres  meme', 'passes', 'bon', 'moment', 'enfants', 'retournerons']","['piscine', 'bondee', 'monde', 'pourtant', 'hors', 'periodes', 'scolaire', '  pas', 'petits', 'chalet', 'hangar', 'colles', 'un', 'autres  meme', 'pas', 'bon', 'moment', 'enfants', 'retournerons']","['piscin', 'bonde', 'mond', 'pourt', 'hor', 'period', 'scolair', '  pas', 'petit', 'chalet', 'hangar', 'coll', 'un', 'autres  mem', 'pass', 'bon', 'moment', 'enfant', 'retourn']"
8,Center Parcs Le Bois aux Daims,31 janvier 2019,1,"Le personnel du service client n'a pas été à la hauteur des offres proposées et non pu nous satisfaire ni répondre à nos espérances. En milieu de ces jours il nous propose de rester une nuit supplémentaire en bénéficiant de 20 % de remise, et nous décidons de rester au mais entre-temps notre cottages était reloué. Nous avions tout mis en place pour rester plus mais au final nous sommes contraint de partir. Aucune solution trouvée ",fr,Bof bof le service, novembre 2018,"['personnel', 'service', 'client', 'hauteur', 'offres', 'proposees', 'satisfaire', 'repondre', 'esperances', 'milieu', 'propose', 'rester', 'nuit', 'supplementaire', 'beneficiant', 'remise', 'decidons', 'rester', 'entre temps', 'reloue', 'mis', 'place', 'rester', 'final', 'contraint', 'partir', 'aucune', 'solution', 'trouvee']","['personnel', 'service', 'client', 'hauteur', 'offres', 'propose', 'satisfaire', 'repondre', 'esperances', 'milieu', 'propose', 'rester', 'nuit', 'supplementaire', 'beneficiant', 'remise', 'decidons', 'rester', 'entre temps', 'reloue', 'mi', 'place', 'rester', 'final', 'contraint', 'partir', 'aucune', 'solution', 'trouvee']","['personnel', 'servic', 'client', 'hauteur', 'offre', 'propose', 'satisfair', 'repondr', 'esper', 'milieu', 'propos', 'rest', 'nuit', 'supplementair', 'benefici', 'remis', 'decidon', 'rest', 'entre temp', 'relou', 'mis', 'plac', 'rest', 'final', 'contraint', 'part', 'aucun', 'solut', 'trouve']"
9,Center Parcs Le Bois aux Daims,31 janvier 2019,5,"Un vrai paradis pour déconnecter du travail, des animaux pour les enfants ainsi que des jeux.  Le calme, la nature, la marche... quoi de mieux pour se reposer ? du personnel souriant, accueillant et disponible, que demander de plus. ",fr,SUPER  SEJOUR, janvier 2019,"['vrai', 'paradis', 'deconnecter', 'travail', 'animaux', 'enfants', 'ainsi', 'jeux', 'calme', 'nature', 'marche', 'quoi', 'mieux', 'reposer', 'personnel', 'souriant', 'accueillant', 'disponible', 'demander']","['vrai', 'paradis', 'deconnecter', 'travail', 'animaux', 'enfants', 'ainsi', 'jeux', 'calme', 'nature', 'marche', 'quoi', 'mieux', 'reposer', 'personnel', 'souriant', 'accueillant', 'disponible', 'demander']","['vrai', 'parad', 'deconnect', 'travail', 'animal', 'enfant', 'ains', 'jeux', 'calm', 'natur', 'march', 'quoi', 'mieux', 'repos', 'personnel', 'souri', 'accueil', 'disponibl', 'demand']"
10,Center Parcs Le Bois aux Daims,29 janvier 2019,5,"10 jours de détente en famille, que ce soit au niveau de l'accueil, de la qualité de l'hébergement, les activités, le personnel rencontré, rien n'est venu assombrir notre séjour. Mention très bien à la personne qui a accéléré notre arrivée dans le 2eme cottage, au limonadier jean Christophe pour sa gentillesse et au jeune homme en charge du paint ball et du segway pour sa bonne humeur.",fr,Vraiment cool !, janvier 2019,"['detente', 'famille', 'l accueil', 'qualite', 'l hebergement', 'activites', 'personnel', 'rencontre', 'venu', 'assombrir', 'mention', 'bien', 'personne', 'accelere', 'arrivee', '2eme', 'limonadier', 'jean', 'christophe', 'gentillesse', 'jeune', 'homme', 'charge', 'paint', 'ball', 'segway', 'bonne', 'humeur']","['detente', 'famille', 'l accueil', 'qualite', 'l hebergement', 'activites', 'personnel', 'rencontre', 'venu', 'assombrir', 'mention', 'bien', 'personne', 'accelere', 'arrivee', '2eme', 'limonadier', 'jean', 'christophe', 'gentillesse', 'jeune', 'homme', 'charge', 'paint', 'ball', 'segway', 'bonne', 'humeur']","['detent', 'famill', 'l accueil', 'qualit', 'l heberg', 'activit', 'personnel', 'rencontr', 'venu', 'assombr', 'mention', 'bien', 'person', 'acceler', 'arrive', '2em', 'limonadi', 'jean', 'christoph', 'gentilless', 'jeun', 'homm', 'charg', 'paint', 'ball', 'segway', 'bon', 'humeur']"
11,Center Parcs Le Bois aux Daims,29 janvier 2019,5,très beau cadre en harmonie avec la naturedéconnexion garantiecottage comme à la maison literie extrarivière sauvage et toboggans très fun spa procurant une réelle détente du fait du peu de monde pendant le créneau horaire imparti ,fr,relaxation et cocooning au rendez-vous, janvier 2019,"['beau', 'cadre', 'harmonie', 'naturedeconnexion', 'garantiecottage', 'maison', 'literie', 'extrariviere', 'sauvage', 'toboggans', 'fun', 'spa', 'procurant', 'reelle', 'detente', 'monde', 'pendant', 'creneau', 'horaire', 'imparti']","['beau', 'cadre', 'harmonie', 'naturedeconnexion', 'garantiecottage', 'maison', 'literie', 'extrariviere', 'sauvage', 'toboggan', 'fun', 'spa', 'procurant', 'reelle', 'detente', 'monde', 'pendant', 'creneau', 'horaire', 'imparti']","['beau', 'cadr', 'harmon', 'naturedeconnexion', 'garantiecottag', 'maison', 'liter', 'extrarivier', 'sauvag', 'toboggan', 'fun', 'spa', 'procur', 'reel', 'detent', 'mond', 'pend', 'creneau', 'horair', 'impart']"
12,Center Parcs Le Bois aux Daims,29 janvier 2019,4,"Séjour très agréable, très bon accueil, cottage très confortable. Le personnel est très sympathique et à l'écoute des clients Juste un petit regret concernant l'éloignement du cottage /dôme (accès difficile pour une personne handicapée)... Une navette gratuite serait une idée pour les personnes à mobilité réduite ou les enfants en bas âge... Surtout en cas de mauvais temps. Je recommande le restaurant buffet à volonté pour la fraîcheur des aliments, la cuisine est de qualitée... J'ai été agréablement surprise et j'aimerai y revenir ",fr,Confort et bien-être, janvier 2019,"['agreable', 'bon', 'accueil', 'confortable', 'personnel', 'sympathique', 'l ecoute', 'clients', 'juste', 'petit', 'regret', 'concernant', 'l eloignement', ' dome', 'acces', 'difficile', 'personne', 'handicapee', 'navette', 'gratuite', 'idee', 'personnes', 'mobilite', 'reduite', 'enfants', 'bas', 'âge', 'cas', 'mauvais', 'temps', 'recommande', 'restaurant', 'buffet', 'volonte', 'fraicheur', 'aliments', 'cuisine', 'qualitee', 'agreablement', 'surprise', 'j aimerai', 'revenir']","['agreable', 'bon', 'accueil', 'confortable', 'personnel', 'sympathique', 'l ecoute', 'client', 'juste', 'petit', 'regret', 'concernant', 'l eloignement', ' dome', 'acces', 'difficile', 'personne', 'handicapee', 'navette', 'gratuite', 'idee', 'personnes', 'mobilite', 'reduite', 'enfants', 'ba', 'âge', 'ca', 'mauvais', 'temp', 'recommande', 'restaurant', 'buffet', 'volonte', 'fraicheur', 'aliment', 'cuisine', 'qualitee', 'agreablement', 'surprise', 'j aimerai', 'revenir']","['agreabl', 'bon', 'accueil', 'confort', 'personnel', 'sympath', 'l ecout', 'client', 'just', 'pet', 'regret', 'concern', 'l eloign', ' dom', 'acce', 'difficil', 'person', 'handicape', 'navet', 'gratuit', 'ide', 'person', 'mobilit', 'reduit', 'enfant', 'bas', 'âge', 'cas', 'mauv', 'temp', 'recommand', 'restaur', 'buffet', 'volont', 'fraicheur', 'aliment', 'cuisin', 'qualite', 'agreabl', 'surpris', 'j aim', 'reven']"
13,Center Parcs Le Bois aux Daims,30 janvier 2019,4,"le parc est calme , la nature est partout  et  les cottages sont confortables et bien équipés( bon chauffage, appareils électriques, lits confortables, terrasse,...); un  bon accueil dès notre arrivée . tout est bien pensé pour que l'on passe un séjour relaxant . Le parc est bien équipé pour que les enfants passent un séjour formidable.",fr,conforme à nos attentes, janvier 2019,"['calme', 'nature', 'partout', 'confortables', 'bien', 'equipes', 'bon', 'chauffage', 'appareils', 'electriques', 'lits', 'confortables', 'terrasse', 'bon', 'accueil', 'des', 'arrivee', 'bien', 'pense', 'l on', 'relaxant', 'bien', 'equipe', 'enfants', 'passent', 'formidable']","['calme', 'nature', 'partout', 'confortables', 'bien', 'equip', 'bon', 'chauffage', 'appareils', 'electriques', 'lit', 'confortables', 'terrasse', 'bon', 'accueil', 'de', 'arrivee', 'bien', 'pense', 'l on', 'relaxant', 'bien', 'equipe', 'enfants', 'passent', 'formidable']","['calm', 'natur', 'partout', 'confort', 'bien', 'equip', 'bon', 'chauffag', 'appareil', 'electr', 'lit', 'confort', 'terr', 'bon', 'accueil', 'de', 'arrive', 'bien', 'pens', 'l on', 'relax', 'bien', 'equip', 'enfant', 'passent', 'formid']"
14,Center Parcs Le Bois aux Daims,30 janvier 2019,4,"Très bonnes installations. Seul bémol quota de personnes jusqu'à 1500 personnes pour l'aqua Mondo beaucoup trop élevé. Cela devrait être maximum 700. Avons eu 1000 personnes le samedi et c'est Insupportable et il est impossible de profiter des jeux, toboggans, piscine, rivière sauvage et autres sans étouffer et être fortement bousculés. ",fr,Très agréable en famille sauf le week-end, janvier 2019,"['bonnes', 'installations', 'seul', 'bemol', 'quota', 'personnes', 'jusqu', '1500', 'personnes', 'l aqua', 'mondo', 'beaucoup', 'eleve', 'devrait', 'maximum', '700', '1000', 'personnes', 'samedi', 'insupportable', 'impossible', 'profiter', 'jeux', 'toboggans', 'piscine', 'riviere', 'sauvage', 'etouffer', 'fortement', 'bouscules']","['bonnes', 'installation', 'seul', 'bemol', 'quota', 'personnes', 'jusqu', '1500', 'personnes', 'l aqua', 'mondo', 'beaucoup', 'eleve', 'devrait', 'maximum', '700', '1000', 'personnes', 'samedi', 'insupportable', 'impossible', 'profiter', 'jeux', 'toboggan', 'piscine', 'riviere', 'sauvage', 'etouffer', 'fortement', 'bouscules']","['bon', 'install', 'seul', 'bemol', 'quot', 'person', 'jusqu', '1500', 'person', 'l aqu', 'mondo', 'beaucoup', 'elev', 'devr', 'maximum', '700', '1000', 'person', 'samed', 'insupport', 'impossibl', 'profit', 'jeux', 'toboggan', 'piscin', 'rivier', 'sauvag', 'etouff', 'fort', 'bouscul']"
15,Center Parcs Le Bois aux Daims,29 janvier 2019,2,Nous sommes venus en famille avec une amie et ses enfants pour lui faire découvrir center parcs car nous c'est le troisième part que nous faisons et nous avons été très dé\u00e7u d'une part par notre cottage numéro 24 (ménage mal fait porte-fenêtre qui se ferme mal chasse d'eau abîmé les deux lumière clignotante du cottage pas très pratique pour des épileptiques) et d'autre part par le service de livraison de repas (commande commander entre 20h30 et 21h livré 21h30 incomplète et renversé et la dernière pizza livrer à 22h30 un peu tard pour un enfant de 5 ans) et ne parlons pas non plus du Quick tu ne pouvais absolument pas faire de glace le dernier jour au moment de partir une avec des frites. Franchement nous avions très honte par rapport à ce qu'on avait dit à notre ami sur center parc.,fr,Séjour en mid-week du 21 janvier au 25 janvier., janvier 2019,"['venus', 'famille', 'amie', 'enfants', 'decouvrir', 'troisieme', 'part', 'faisons', 'de u00e7u', 'd une', 'part', 'numero', 'mal', 'porte fenetre', 'ferme', 'mal', 'chasse', 'd eau', 'abime', 'deux', 'lumiere', 'clignotante', 'pratique', 'epileptiques', 'd autre', 'part', 'service', 'livraison', 'repas', 'commande', 'commander', '20h30', '21h', 'livre', '21h30', 'incomplete', 'renverse', 'derniere', 'pizza', 'livrer', '22h30', 'tard', 'enfant', 'parlons', 'quick', 'pouvais', 'absolument', 'glace', 'dernier', 'jour', 'moment', 'partir', 'frites', 'franchement', 'honte', 'qu on', 'ami']","['venus', 'famille', 'amie', 'enfants', 'decouvrir', 'troisieme', 'part', 'faisons', 'de u00e7u', 'd une', 'part', 'numero', 'mal', 'porte fenetre', 'ferme', 'mal', 'chasse', 'd eau', 'abime', 'deux', 'lumiere', 'clignotante', 'pratique', 'epileptiques', 'd autre', 'part', 'service', 'livraison', 'repas', 'commande', 'commander', '20h30', '21h', 'livre', '21h30', 'incomplete', 'renverse', 'derniere', 'pizza', 'livrer', '22h30', 'tard', 'enfant', 'parlons', 'quick', 'pouvais', 'absolument', 'glace', 'dernier', 'jour', 'moment', 'partir', 'frites', 'franchement', 'honte', 'qu on', 'ami']","['venus', 'famill', 'ami', 'enfant', 'decouvr', 'troisiem', 'part', 'faison', 'de u00e7u', 'd un', 'part', 'numero', 'mal', 'porte fenetr', 'ferm', 'mal', 'chass', 'd eau', 'abim', 'deux', 'lumier', 'clignot', 'pratiqu', 'epilept', 'd autr', 'part', 'servic', 'livraison', 'rep', 'command', 'command', '20h30', '21h', 'livr', '21h30', 'incomplet', 'renvers', 'dernier', 'pizz', 'livr', '22h30', 'tard', 'enfant', 'parlon', 'quick', 'pouv', 'absolu', 'glac', 'derni', 'jour', 'moment', 'part', 'frit', 'franch', 'hont', 'qu on', 'ami']"
16,Center Parcs Le Bois aux Daims,29 janvier 2019,4,"Nous avons passé un très bon séjour! L 'environnement auprès de la nature,la  piscine, les activités... que du positif. La seule chose que nous avons regretté est l amabilité du personnel( l accueil :on a l impression de déranger lorsqu on pose une question sur des activités...et la personne en caisse du magasin qui se plaint que ma fille lui casse les oreilles parce qu' elle pleure et qu'elle aimerait bien travailler avec des boules quies. Et oui j étais en caisse au moment où elle fait la réflexion ! ma fille étant avec mon mari à ce moment là!! Hormis cela tout été génial.",fr,Bon séjour sauf..., janvier 2019,"['passe', 'bon', ' environnement', 'aupres', 'nature', 'piscine', 'activites', 'positif', 'seule', 'chose', 'regrette', 'amabilite', 'personnel', 'accueil', 'impression', 'deranger', 'lorsqu', 'pose', 'question', 'activites', 'personne', 'caisse', 'magasin', 'plaint', 'fille', 'casse', 'oreilles', 'parce', 'pleure', 'qu elle', 'aimerait', 'bien', 'travailler', 'boules', 'quies', 'oui', 'caisse', 'moment', 'reflexion', 'fille', 'mari', 'moment', 'hormis', 'genial']","['passe', 'bon', ' environnement', 'aupres', 'nature', 'piscine', 'activites', 'positif', 'seule', 'choose', 'regrette', 'amabilite', 'personnel', 'accueil', 'impression', 'deranger', 'lorsqu', 'pose', 'question', 'activites', 'personne', 'caisse', 'magasin', 'plaint', 'fille', 'casse', 'oreilles', 'parce', 'pleure', 'qu elle', 'aimerait', 'bien', 'travailler', 'boule', 'quies', 'oui', 'caisse', 'moment', 'reflexion', 'fille', 'mari', 'moment', 'hormis', 'genial']","['pass', 'bon', ' environ', 'aupr', 'natur', 'piscin', 'activit', 'posit', 'seul', 'chos', 'regret', 'amabilit', 'personnel', 'accueil', 'impress', 'derang', 'lorsqu', 'pos', 'question', 'activit', 'person', 'caiss', 'magasin', 'plaint', 'fill', 'cass', 'oreil', 'parc', 'pleur', 'qu el', 'aim', 'bien', 'travaill', 'boul', 'qui', 'oui', 'caiss', 'moment', 'reflexion', 'fill', 'mar', 'moment', 'horm', 'genial']"
17,Center Parcs Le Bois aux Daims,29 janvier 2019,4,"Le cottage VIP 6 personnes était juste super!! Adapté pour nous. Juste le côté cuisine où il manquait quelques petites choses : pas assez de couverts et de casseroles/poêles, un four aurait été super. Ménagé globalement propre, juste ma fille est tombée sur 2 bouts de verres en jouant par terre. Beaucoup d'activités à faire et pour tout âge. Nous avons fait du pédalo, du poney et un tour au spa. L'aqua mundo est vraiment super pour les enfants et même pour les grands enfants",fr,Un bon moment de détente, janvier 2019,"['vip', 'personnes', 'juste', 'super', 'adapte', 'juste', 'cote', 'cuisine', 'manquait', 'quelques', 'petites', 'choses', 'couverts', 'casseroles poeles', 'four', 'super', 'menage', 'globalement', 'propre', 'juste', 'fille', 'tombee', 'bouts', 'verres', 'jouant', 'terre', 'beaucoup', 'd activites', 'âge', 'pedalo', 'poney', 'tour', 'spa', 'l aqua', 'super', 'enfants', 'grands', 'enfants']","['vip', 'personnes', 'juste', 'super', 'adapte', 'juste', 'cote', 'cuisine', 'manquait', 'quelques', 'petite', 'choses', 'couverts', 'casseroles poeles', 'four', 'super', 'menage', 'globalement', 'propre', 'juste', 'fille', 'tombee', 'bout', 'verres', 'jouant', 'terre', 'beaucoup', 'd activites', 'âge', 'pedalo', 'poney', 'tour', 'spa', 'l aqua', 'super', 'enfants', 'grand', 'enfants']","['vip', 'person', 'just', 'sup', 'adapt', 'just', 'cot', 'cuisin', 'manqu', 'quelqu', 'petit', 'chos', 'couvert', 'casseroles poel', 'four', 'sup', 'menag', 'global', 'propr', 'just', 'fill', 'tombe', 'bout', 'verr', 'jou', 'terr', 'beaucoup', 'd activit', 'âge', 'pedalo', 'poney', 'tour', 'spa', 'l aqu', 'sup', 'enfant', 'grand', 'enfant']"
